from;to;migration
Albania;Czech Republic;226
Albania;Denmark;171
Albania;Iceland;135
Albania;Mali;118
Albania;Serbia;101
Albania;Malta;72
Albania;Russia;62
Albania;South Africa;52
Albania;Poland;51
Albania;Slovakia;50
Albania;Ireland;37
Albania;Cyprus;34
Albania;Libya;28
Albania;Estonia;26
Albania;Croatia;25
Albania;Egypt;23
Albania;Lithuania;22
Albania;Slovenia;16
Albania;Philippines;11
Albania;Argentina;9
Albania;Ecuador;6
Albania;Portugal;6
Albania;Venezuela;6
Albania;Latvia;4
Albania;Brazil;2
Albania;Georgia;2
Albania;Israel;2
Albania;Guinea;1
Albania;Mexico;1
Albania;Afghanistan;0
Albania;Albania;0
Albania;Algeria;0
Albania;Angola;0
Albania;Armenia;0
Albania;Aruba;0
Albania;Azerbaijan;0
Albania;Bahamas;0
Albania;Bahrain;0
Albania;Bangladesh;0
Albania;Barbados;0
Albania;Belarus;0
Albania;Belize;0
Albania;Benin;0
Albania;Bhutan;0
Albania;Bolivia;0
Albania;Bosnia & Herzegovina;0
Albania;Botswana;0
Albania;Brunei;0
Albania;Burkina Faso;0
Albania;Burundi;0
Albania;Cambodia;0
Albania;Cameroon;0
Albania;Cape Verde;0
Albania;Central African Republic;0
Albania;Chad;0
Albania;Channel Islands;0
Albania;Chile;0
Albania;China;0
Albania;Colombia;0
Albania;Comoros;0
Albania;Congo;0
Albania;Costa Rica;0
Albania;Cuba;0
Albania;Djibouti;0
Albania;Dominican Republic;0
Albania;DR Congo;0
Albania;El Salvador;0
Albania;Equatorial Guinea;0
Albania;Eritrea;0
Albania;Ethiopia;0
Albania;Fiji;0
Albania;French Guiana;0
Albania;French Polynesia;0
Albania;Gabon;0
Albania;Gambia;0
Albania;Ghana;0
Albania;Grenada;0
Albania;Guadeloupe;0
Albania;Guam;0
Albania;Guatemala;0
Albania;Guinea-Bissau;0
Albania;Guyana;0
Albania;Haiti;0
Albania;Honduras;0
Albania;Hong Kong;0
Albania;India;0
Albania;Indonesia;0
Albania;Iran;0
Albania;Iraq;0
Albania;Ivory Coast;0
Albania;Jamaica;0
Albania;Japan;0
Albania;Jordan;0
Albania;Kazakhstan;0
Albania;Kenya;0
Albania;Kuwait;0
Albania;Kyrgyzstan;0
Albania;Laos;0
Albania;Lebanon;0
Albania;Lesotho;0
Albania;Liberia;0
Albania;Macao;0
Albania;Madagascar;0
Albania;Malawi;0
Albania;Malaysia;0
Albania;Maldives;0
Albania;Martinique;0
Albania;Mauritania;0
Albania;Mauritius;0
Albania;Mayotte;0
Albania;Micronesia;0
Albania;Moldova;0
Albania;Mongolia;0
Albania;Morocco;0
Albania;Mozambique;0
Albania;Myanmar;0
Albania;Namibia;0
Albania;Nepal;0
Albania;New Caledonia;0
Albania;New Zealand;0
Albania;Nicaragua;0
Albania;Niger;0
Albania;Nigeria;0
Albania;North Korea;0
Albania;Oman;0
Albania;Pakistan;0
Albania;Palestine;0
Albania;Panama;0
Albania;Papua New Guinea;0
Albania;Paraguay;0
Albania;Peru;0
Albania;Puerto Rico;0
Albania;Qatar;0
Albania;Reunion;0
Albania;Rwanda;0
Albania;Saint Lucia;0
Albania;Saint Vincent & Grenadines;0
Albania;Samoa;0
Albania;Sao Tome & Principe;0
Albania;Saudi Arabia;0
Albania;Senegal;0
Albania;Sierra Leone;0
Albania;Singapore;0
Albania;Solomon Islands;0
Albania;Somalia;0
Albania;South Korea;0
Albania;South Sudan;0
Albania;Sri Lanka;0
Albania;Sudan;0
Albania;Suriname;0
Albania;Swaziland;0
Albania;Syria;0
Albania;Tajikistan;0
Albania;Tanzania;0
Albania;Thailand;0
Albania;Timor-Leste;0
Albania;Togo;0
Albania;Tonga;0
Albania;Trinidad & Tobago;0
Albania;Tunisia;0
Albania;Turkmenistan;0
Albania;Uganda;0
Albania;Ukraine;0
Albania;United Arab Emirates;0
Albania;Uruguay;0
Albania;Uzbekistan;0
Albania;Vanuatu;0
Albania;Vietnam;0
Albania;Virgin Islands;0
Albania;Western Sahara;0
Albania;Yemen;0
Albania;Zambia;0
Albania;Zimbabwe;0
Algeria;France;209586
Algeria;Western Sahara;35716
Algeria;United States;10250
Algeria;Canada;9977
Algeria;Spain;7044
Algeria;Israel;6602
Algeria;Germany;5841
Algeria;Belgium;3983
Algeria;United Kingdom;3916
Algeria;Italy;3713
Algeria;Tunisia;2691
Algeria;Morocco;2363
Algeria;Palestine;1846
Algeria;Switzerland;1694
Algeria;Jordan;1282
Algeria;Mauritania;1131
Algeria;Somalia;1092
Algeria;Iraq;919
Algeria;Luxembourg;918
Algeria;Guinea;828
Algeria;Libya;827
Algeria;Syria;731
Algeria;Sweden;531
Algeria;Senegal;518
Algeria;Netherlands;487
Algeria;Turkey;449
Algeria;Austria;431
Algeria;Romania;393
Algeria;Saudi Arabia;388
Algeria;Lebanon;369
Algeria;Russia;362
Algeria;Hungary;321
Algeria;Finland;310
Algeria;Egypt;294
Algeria;Czech Republic;286
Algeria;Poland;276
Algeria;Yemen;256
Algeria;Bulgaria;238
Algeria;Australia;214
Algeria;South Africa;168
Algeria;Norway;164
Algeria;Indonesia;145
Algeria;Sudan;140
Algeria;Ireland;120
Algeria;Denmark;119
Algeria;Kuwait;108
Algeria;Niger;91
Algeria;Malaysia;88
Algeria;French Polynesia;72
Algeria;New Caledonia;71
Algeria;Greece;65
Algeria;Mali;61
Algeria;Philippines;58
Algeria;Malta;57
Algeria;Namibia;54
Algeria;Ukraine;52
Algeria;Portugal;51
Algeria;French Guiana;46
Algeria;Slovakia;46
Algeria;Brazil;41
Algeria;United Arab Emirates;41
Algeria;Ethiopia;38
Algeria;Kenya;38
Algeria;Venezuela;35
Algeria;Tajikistan;27
Algeria;Kazakhstan;25
Algeria;Belarus;22
Algeria;Iceland;20
Algeria;Gabon;17
Algeria;Estonia;16
Algeria;Guadeloupe;16
Algeria;Slovenia;16
Algeria;Martinique;13
Algeria;Mexico;13
Algeria;Nicaragua;13
Algeria;Serbia;13
Algeria;Argentina;12
Algeria;Croatia;10
Algeria;Peru;10
Algeria;Djibouti;8
Algeria;Cyprus;7
Algeria;Ecuador;6
Algeria;Latvia;6
Algeria;Bahrain;5
Algeria;Georgia;5
Algeria;Qatar;5
Algeria;Uzbekistan;5
Algeria;Lithuania;4
Algeria;Singapore;4
Algeria;Uganda;4
Algeria;South Sudan;3
Algeria;Chad;2
Algeria;Costa Rica;2
Algeria;Ghana;2
Algeria;India;2
Algeria;Armenia;1
Algeria;Bangladesh;1
Algeria;Cuba;1
Algeria;Iran;1
Algeria;Moldova;1
Algeria;New Zealand;1
Algeria;Oman;1
Algeria;Afghanistan;0
Algeria;Albania;0
Algeria;Algeria;0
Algeria;Angola;0
Algeria;Aruba;0
Algeria;Azerbaijan;0
Algeria;Bahamas;0
Algeria;Barbados;0
Algeria;Belize;0
Algeria;Benin;0
Algeria;Bhutan;0
Algeria;Bolivia;0
Algeria;Bosnia & Herzegovina;0
Algeria;Botswana;0
Algeria;Brunei;0
Algeria;Burkina Faso;0
Algeria;Burundi;0
Algeria;Cambodia;0
Algeria;Cameroon;0
Algeria;Cape Verde;0
Algeria;Central African Republic;0
Algeria;Channel Islands;0
Algeria;Chile;0
Algeria;China;0
Algeria;Colombia;0
Algeria;Comoros;0
Algeria;Congo;0
Algeria;Dominican Republic;0
Algeria;DR Congo;0
Algeria;El Salvador;0
Algeria;Equatorial Guinea;0
Algeria;Eritrea;0
Algeria;Fiji;0
Algeria;Gambia;0
Algeria;Grenada;0
Algeria;Guam;0
Algeria;Guatemala;0
Algeria;Guinea-Bissau;0
Algeria;Guyana;0
Algeria;Haiti;0
Algeria;Honduras;0
Algeria;Hong Kong;0
Algeria;Ivory Coast;0
Algeria;Jamaica;0
Algeria;Japan;0
Algeria;Kyrgyzstan;0
Algeria;Laos;0
Algeria;Lesotho;0
Algeria;Liberia;0
Algeria;Macao;0
Algeria;Macedonia;0
Algeria;Madagascar;0
Algeria;Malawi;0
Algeria;Maldives;0
Algeria;Mauritius;0
Algeria;Mayotte;0
Algeria;Micronesia;0
Algeria;Mongolia;0
Algeria;Montenegro;0
Algeria;Mozambique;0
Algeria;Myanmar;0
Algeria;Nepal;0
Algeria;Nigeria;0
Algeria;North Korea;0
Algeria;Pakistan;0
Algeria;Panama;0
Algeria;Papua New Guinea;0
Algeria;Paraguay;0
Algeria;Puerto Rico;0
Algeria;Reunion;0
Algeria;Rwanda;0
Algeria;Saint Lucia;0
Algeria;Saint Vincent & Grenadines;0
Algeria;Samoa;0
Algeria;Sao Tome & Principe;0
Algeria;Sierra Leone;0
Algeria;Solomon Islands;0
Algeria;South Korea;0
Algeria;Sri Lanka;0
Algeria;Suriname;0
Algeria;Swaziland;0
Algeria;Tanzania;0
Algeria;Thailand;0
Algeria;Timor-Leste;0
Algeria;Togo;0
Algeria;Tonga;0
Algeria;Trinidad & Tobago;0
Algeria;Turkmenistan;0
Algeria;Uruguay;0
Algeria;Vanuatu;0
Algeria;Vietnam;0
Algeria;Virgin Islands;0
Algeria;Zambia;0
Algeria;Zimbabwe;0
Angola;DR Congo;31890
Angola;Portugal;27080
Angola;South Africa;9771
Angola;Congo;5038
Angola;Mozambique;4684
Angola;Namibia;4425
Angola;United States;4243
Angola;Zambia;3386
Angola;France;2976
Angola;United Kingdom;1771
Angola;Brazil;1139
Angola;Guinea;1076
Angola;Belgium;985
Angola;Switzerland;860
Angola;Cape Verde;842
Angola;Spain;758
Angola;Ivory Coast;673
Angola;Sao Tome & Principe;661
Angola;Netherlands;592
Angola;Germany;535
Angola;Luxembourg;452
Angola;Canada;428
Angola;Cameroon;352
Angola;Italy;287
Angola;Mali;212
Angola;Gabon;175
Angola;Rwanda;161
Angola;Tanzania;124
Angola;Russia;105
Angola;Botswana;94
Angola;Sweden;94
Angola;Ireland;75
Angola;Australia;74
Angola;Austria;68
Angola;Finland;61
Angola;Norway;61
Angola;Uganda;50
Angola;Venezuela;43
Angola;Romania;36
Angola;Eritrea;35
Angola;Czech Republic;26
Angola;Hungary;26
Angola;Burundi;25
Angola;Denmark;20
Angola;Burkina Faso;19
Angola;Poland;14
Angola;Swaziland;14
Angola;South Sudan;12
Angola;Philippines;10
Angola;Equatorial Guinea;9
Angola;Iceland;7
Angola;Mexico;7
Angola;Bulgaria;5
Angola;Ecuador;5
Angola;Kenya;5
Angola;Peru;5
Angola;Senegal;5
Angola;Cuba;4
Angola;Egypt;4
Angola;Gambia;4
Angola;Sierra Leone;4
Angola;Slovakia;4
Angola;Chad;3
Angola;Ghana;3
Angola;Greece;3
Angola;Liberia;3
Angola;Malawi;3
Angola;Central African Republic;2
Angola;Argentina;1
Angola;Benin;1
Angola;Bolivia;1
Angola;Channel Islands;1
Angola;Guinea-Bissau;1
Angola;New Zealand;1
Angola;Sudan;1
Angola;Togo;1
Angola;Afghanistan;0
Angola;Albania;0
Angola;Algeria;0
Angola;Angola;0
Angola;Armenia;0
Angola;Aruba;0
Angola;Azerbaijan;0
Angola;Bahamas;0
Angola;Bahrain;0
Angola;Bangladesh;0
Angola;Barbados;0
Angola;Belarus;0
Angola;Belize;0
Angola;Bhutan;0
Angola;Bosnia & Herzegovina;0
Angola;Brunei;0
Angola;Cambodia;0
Angola;Chile;0
Angola;China;0
Angola;Colombia;0
Angola;Comoros;0
Angola;Costa Rica;0
Angola;Croatia;0
Angola;Cyprus;0
Angola;Djibouti;0
Angola;Dominican Republic;0
Angola;El Salvador;0
Angola;Estonia;0
Angola;Ethiopia;0
Angola;Fiji;0
Angola;French Guiana;0
Angola;French Polynesia;0
Angola;Georgia;0
Angola;Grenada;0
Angola;Guadeloupe;0
Angola;Guam;0
Angola;Guatemala;0
Angola;Guyana;0
Angola;Haiti;0
Angola;Honduras;0
Angola;Hong Kong;0
Angola;India;0
Angola;Indonesia;0
Angola;Iran;0
Angola;Iraq;0
Angola;Israel;0
Angola;Jamaica;0
Angola;Japan;0
Angola;Jordan;0
Angola;Kazakhstan;0
Angola;Kuwait;0
Angola;Kyrgyzstan;0
Angola;Laos;0
Angola;Latvia;0
Angola;Lebanon;0
Angola;Lesotho;0
Angola;Libya;0
Angola;Lithuania;0
Angola;Macao;0
Angola;Macedonia;0
Angola;Madagascar;0
Angola;Malaysia;0
Angola;Maldives;0
Angola;Malta;0
Angola;Martinique;0
Angola;Mauritania;0
Angola;Mauritius;0
Angola;Mayotte;0
Angola;Micronesia;0
Angola;Moldova;0
Angola;Mongolia;0
Angola;Montenegro;0
Angola;Morocco;0
Angola;Myanmar;0
Angola;Nepal;0
Angola;New Caledonia;0
Angola;Nicaragua;0
Angola;Niger;0
Angola;Nigeria;0
Angola;North Korea;0
Angola;Oman;0
Angola;Pakistan;0
Angola;Palestine;0
Angola;Panama;0
Angola;Papua New Guinea;0
Angola;Paraguay;0
Angola;Puerto Rico;0
Angola;Qatar;0
Angola;Reunion;0
Angola;Saint Lucia;0
Angola;Saint Vincent & Grenadines;0
Angola;Samoa;0
Angola;Saudi Arabia;0
Angola;Serbia;0
Angola;Singapore;0
Angola;Slovenia;0
Angola;Solomon Islands;0
Angola;Somalia;0
Angola;South Korea;0
Angola;Sri Lanka;0
Angola;Suriname;0
Angola;Syria;0
Angola;Tajikistan;0
Angola;Thailand;0
Angola;Timor-Leste;0
Angola;Tonga;0
Angola;Trinidad & Tobago;0
Angola;Tunisia;0
Angola;Turkey;0
Angola;Turkmenistan;0
Angola;Ukraine;0
Angola;United Arab Emirates;0
Angola;Uruguay;0
Angola;Uzbekistan;0
Angola;Vanuatu;0
Angola;Vietnam;0
Angola;Virgin Islands;0
Angola;Western Sahara;0
Angola;Yemen;0
Angola;Zimbabwe;0
Argentina;Spain;92352
Argentina;Paraguay;88519
Argentina;United States;79394
Argentina;Bolivia;65032
Argentina;Chile;48740
Argentina;Italy;45305
Argentina;Peru;34619
Argentina;Uruguay;25116
Argentina;Brazil;21201
Argentina;Germany;19137
Argentina;Israel;12323
Argentina;Canada;7270
Argentina;United Kingdom;6754
Argentina;Venezuela;6642
Argentina;France;5703
Argentina;Australia;5017
Argentina;Mexico;4938
Argentina;Switzerland;4075
Argentina;Colombia;3840
Argentina;New Zealand;2526
Argentina;Netherlands;2059
Argentina;Romania;1942
Argentina;Japan;1917
Argentina;China;1758
Argentina;South Africa;1609
Argentina;Denmark;1461
Argentina;Russia;1395
Argentina;Poland;1372
Argentina;Portugal;1370
Argentina;Ecuador;1246
Argentina;Sweden;1213
Argentina;Austria;1203
Argentina;Belgium;1163
Argentina;South Korea;997
Argentina;Ukraine;926
Argentina;Panama;708
Argentina;Czech Republic;703
Argentina;Norway;520
Argentina;Luxembourg;484
Argentina;Turkey;459
Argentina;Dominican Republic;429
Argentina;Hungary;428
Argentina;Costa Rica;405
Argentina;Greece;375
Argentina;Guatemala;326
Argentina;Slovenia;317
Argentina;Bulgaria;269
Argentina;Finland;262
Argentina;Kazakhstan;226
Argentina;Croatia;225
Argentina;Ireland;220
Argentina;Haiti;187
Argentina;Belarus;173
Argentina;Macedonia;169
Argentina;Egypt;160
Argentina;Cuba;148
Argentina;Slovakia;147
Argentina;Honduras;122
Argentina;Moldova;121
Argentina;Puerto Rico;113
Argentina;Lebanon;96
Argentina;Estonia;95
Argentina;Serbia;95
Argentina;Lithuania;94
Argentina;Syria;93
Argentina;Malta;67
Argentina;Armenia;64
Argentina;Iceland;63
Argentina;El Salvador;62
Argentina;Nicaragua;60
Argentina;Bahamas;54
Argentina;Philippines;50
Argentina;Uzbekistan;43
Argentina;Cyprus;35
Argentina;Latvia;35
Argentina;Morocco;34
Argentina;Laos;29
Argentina;Guinea;27
Argentina;Azerbaijan;23
Argentina;Mauritania;23
Argentina;Albania;22
Argentina;Tunisia;19
Argentina;Iran;17
Argentina;Algeria;16
Argentina;Saudi Arabia;16
Argentina;Georgia;15
Argentina;Jordan;15
Argentina;India;12
Argentina;Thailand;12
Argentina;Libya;10
Argentina;Trinidad & Tobago;9
Argentina;French Guiana;8
Argentina;Iraq;7
Argentina;Kyrgyzstan;7
Argentina;Namibia;7
Argentina;Congo;6
Argentina;Ethiopia;6
Argentina;Cape Verde;5
Argentina;Mali;5
Argentina;Nigeria;5
Argentina;Suriname;5
Argentina;Hong Kong;4
Argentina;Angola;3
Argentina;Channel Islands;3
Argentina;Indonesia;3
Argentina;Maldives;3
Argentina;Montenegro;3
Argentina;Bahrain;2
Argentina;Belize;2
Argentina;Bosnia & Herzegovina;2
Argentina;Cambodia;2
Argentina;Jamaica;2
Argentina;Mozambique;2
Argentina;North Korea;2
Argentina;Reunion;2
Argentina;Sri Lanka;2
Argentina;United Arab Emirates;2
Argentina;Afghanistan;1
Argentina;Aruba;1
Argentina;Bangladesh;1
Argentina;Barbados;1
Argentina;Burkina Faso;1
Argentina;Cameroon;1
Argentina;Equatorial Guinea;1
Argentina;Gabon;1
Argentina;Ghana;1
Argentina;Grenada;1
Argentina;Guadeloupe;1
Argentina;Kuwait;1
Argentina;Macao;1
Argentina;Madagascar;1
Argentina;Martinique;1
Argentina;Myanmar;1
Argentina;New Caledonia;1
Argentina;Pakistan;1
Argentina;Palestine;1
Argentina;Qatar;1
Argentina;Singapore;1
Argentina;Sudan;1
Argentina;Tajikistan;1
Argentina;Vanuatu;1
Argentina;Vietnam;1
Argentina;Argentina;0
Argentina;Benin;0
Argentina;Bhutan;0
Argentina;Botswana;0
Argentina;Brunei;0
Argentina;Burundi;0
Argentina;Central African Republic;0
Argentina;Chad;0
Argentina;Comoros;0
Argentina;Djibouti;0
Argentina;DR Congo;0
Argentina;Eritrea;0
Argentina;Fiji;0
Argentina;French Polynesia;0
Argentina;Gambia;0
Argentina;Guam;0
Argentina;Guinea-Bissau;0
Argentina;Guyana;0
Argentina;Ivory Coast;0
Argentina;Kenya;0
Argentina;Lesotho;0
Argentina;Liberia;0
Argentina;Malawi;0
Argentina;Malaysia;0
Argentina;Mauritius;0
Argentina;Mayotte;0
Argentina;Micronesia;0
Argentina;Mongolia;0
Argentina;Nepal;0
Argentina;Niger;0
Argentina;Oman;0
Argentina;Papua New Guinea;0
Argentina;Rwanda;0
Argentina;Saint Lucia;0
Argentina;Saint Vincent & Grenadines;0
Argentina;Samoa;0
Argentina;Sao Tome & Principe;0
Argentina;Senegal;0
Argentina;Sierra Leone;0
Argentina;Solomon Islands;0
Argentina;Somalia;0
Argentina;South Sudan;0
Argentina;Swaziland;0
Argentina;Tanzania;0
Argentina;Timor-Leste;0
Argentina;Togo;0
Argentina;Tonga;0
Argentina;Turkmenistan;0
Argentina;Uganda;0
Argentina;Virgin Islands;0
Argentina;Western Sahara;0
Argentina;Yemen;0
Argentina;Zambia;0
Argentina;Zimbabwe;0
Armenia;Russia;75480
Armenia;Azerbaijan;26787
Armenia;United States;7809
Armenia;Ukraine;7314
Armenia;Germany;6831
Armenia;Georgia;5481
Armenia;France;1837
Armenia;Greece;1462
Armenia;Kazakhstan;1405
Armenia;Syria;1166
Armenia;Spain;1065
Armenia;Iran;900
Armenia;Uzbekistan;836
Armenia;Belarus;785
Armenia;Turkmenistan;782
Armenia;Turkey;559
Armenia;Bulgaria;463
Armenia;Poland;433
Armenia;Canada;398
Armenia;Austria;313
Armenia;Italy;303
Armenia;Czech Republic;301
Armenia;Sweden;283
Armenia;Kyrgyzstan;275
Armenia;Belgium;197
Armenia;Lebanon;163
Armenia;Australia;142
Armenia;Iraq;139
Armenia;United Kingdom;133
Armenia;Estonia;126
Armenia;Cyprus;118
Armenia;Switzerland;115
Armenia;Netherlands;87
Armenia;Romania;73
Armenia;Luxembourg;72
Armenia;Latvia;68
Armenia;Denmark;64
Armenia;Saudi Arabia;59
Armenia;Jordan;57
Armenia;Hungary;54
Armenia;Argentina;47
Armenia;Lithuania;39
Armenia;Norway;32
Armenia;Libya;26
Armenia;Egypt;25
Armenia;Israel;25
Armenia;Slovakia;25
Armenia;Tajikistan;23
Armenia;Finland;16
Armenia;Serbia;15
Armenia;Malta;14
Armenia;Philippines;12
Armenia;Portugal;11
Armenia;Mexico;9
Armenia;Moldova;8
Armenia;Brazil;7
Armenia;Ireland;6
Armenia;Venezuela;6
Armenia;Namibia;5
Armenia;Slovenia;4
Armenia;United Arab Emirates;4
Armenia;Ecuador;3
Armenia;Kuwait;2
Armenia;Qatar;2
Armenia;Algeria;1
Armenia;Costa Rica;1
Armenia;Guinea;1
Armenia;Iceland;1
Armenia;Palestine;1
Armenia;Afghanistan;0
Armenia;Albania;0
Armenia;Angola;0
Armenia;Armenia;0
Armenia;Aruba;0
Armenia;Bahamas;0
Armenia;Bahrain;0
Armenia;Bangladesh;0
Armenia;Barbados;0
Armenia;Belize;0
Armenia;Benin;0
Armenia;Bhutan;0
Armenia;Bolivia;0
Armenia;Bosnia & Herzegovina;0
Armenia;Botswana;0
Armenia;Brunei;0
Armenia;Burkina Faso;0
Armenia;Burundi;0
Armenia;Cambodia;0
Armenia;Cameroon;0
Armenia;Cape Verde;0
Armenia;Central African Republic;0
Armenia;Chad;0
Armenia;Channel Islands;0
Armenia;Chile;0
Armenia;China;0
Armenia;Colombia;0
Armenia;Comoros;0
Armenia;Congo;0
Armenia;Croatia;0
Armenia;Cuba;0
Armenia;Djibouti;0
Armenia;Dominican Republic;0
Armenia;DR Congo;0
Armenia;El Salvador;0
Armenia;Equatorial Guinea;0
Armenia;Eritrea;0
Armenia;Ethiopia;0
Armenia;Fiji;0
Armenia;French Guiana;0
Armenia;French Polynesia;0
